epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,390.075,2.44062,3.52392,1.32101,0.00223,0.05287,0.00419,0.00135,2.18159,3.81174,1.18687,0.000464992,0.000464992,0.000464992
2,805.123,2.27952,2.37404,1.26548,0.03624,0.56113,0.30915,0.12609,2.1511,2.88535,1.17876,0.000848134,0.000848134,0.000848134
3,1228.41,2.22174,2.18733,1.22688,0.59703,0.28963,0.36102,0.14458,2.09641,2.28406,1.17764,0.00113696,0.00113696,0.00113696
4,1665.03,2.13901,2.07247,1.20394,0.48392,0.44628,0.38075,0.16158,2.07968,1.87357,1.16407,0.00100459,0.00100459,0.00100459
5,2107.46,2.07707,1.94419,1.19183,0.58187,0.44002,0.44988,0.19876,1.9648,1.69079,1.13063,0.000863116,0.000863116,0.000863116
6,2469,2.02412,1.83524,1.17429,0.59398,0.43108,0.47022,0.21441,1.89952,1.63455,1.09488,0.000721645,0.000721645,0.000721645
7,2880.65,1.96434,1.78627,1.15934,0.5999,0.47032,0.49128,0.22967,1.83724,1.60262,1.07997,0.000580174,0.000580174,0.000580174
8,3231.35,1.92894,1.71124,1.12974,0.62159,0.45953,0.49474,0.23045,1.80661,1.49375,1.07036,0.000438703,0.000438703,0.000438703
9,3607.71,1.87304,1.65282,1.12566,0.62764,0.48706,0.51723,0.2484,1.74318,1.4834,1.06019,0.000297232,0.000297232,0.000297232
10,4067.98,1.81184,1.63475,1.10214,0.65147,0.47254,0.51846,0.25345,1.71049,1.41822,1.05702,0.000155761,0.000155761,0.000155761
